year,week,gross,top_release,releases,long_weekend,dates,start_date
1995,45,93571509,Ace Ventura: When Nature Calls,28,false,Nov 10-16,1995-11-10
1995,46,140130288,GoldenEye,32,false,Nov 17-23,1995-11-17
1995,47,136127747,Toy Story,22,false,Nov 24-30,1995-11-24
1995,48,80996942,Toy Story,19,false,Dec 1-7,1995-12-01
1995,49,65081078,Toy Story,18,false,Dec 8-14,1995-12-08
1995,50,91983797,Toy Story,24,false,Dec 15-21,1995-12-15
1995,51,186874873,Toy Story,24,false,Dec 22-28,1995-12-22
1995,52,167779074,Toy Story,27,false,"Dec 29-Jan 4, 1996",1995-12-29
1996,1,109912492,12 Monkeys,22,false,Jan 5-11,1996-01-05
1996,2,117829840,12 Monkeys,22,false,Jan 12-18,1996-01-12
1996,3,96635363,From Dusk Till Dawn,21,false,Jan 19-25,1996-01-19
1996,4,83383966,Mr. Holland's Opus,23,false,Jan 26-Feb 1,1996-01-26
1996,5,98877513,Black Sheep,24,false,Feb 2-8,1996-02-02
1996,6,87880843,Broken Arrow,26,false,Feb 9-15,1996-02-09
1996,7,114765753,Broken Arrow,30,false,Feb 16-22,1996-02-16
1996,8,82439761,Rumble in the Bronx,23,false,Feb 23-29,1996-02-23
1996,9,83073994,Up Close & Personal,25,false,Mar 1-7,1996-03-01
1996,10,91793466,The Birdcage,24,false,Mar 8-14,1996-03-08
1996,11,89774764,The Birdcage,27,false,Mar 15-21,1996-03-15
1996,12,88377684,The Birdcage,27,false,Mar 22-28,1996-03-22
1996,13,94081361,The Birdcage,30,false,Mar 29-Apr 4,1996-03-29
1996,14,90795634,Primal Fear,23,false,Apr 5-11,1996-04-05
1996,15,77601169,Primal Fear,19,false,Apr 12-18,1996-04-12
1996,16,62714823,Primal Fear,19,false,Apr 19-25,1996-04-19
1996,17,64719835,The Quest,22,false,Apr 26-May 2,1996-04-26
1996,18,59301274,The Craft,22,false,May 3-9,1996-05-03
1996,19,98032183,Twister,24,false,May 10-16,1996-05-10
1996,20,97864767,Twister,20,false,May 17-23,1996-05-17
1996,21,147383341,Mission: Impossible,16,false,May 24-30,1996-05-24
1996,22,110060596,Mission: Impossible,15,false,May 31-Jun 6,1996-05-31
1996,23,115295954,The Rock,15,false,Jun 7-13,1996-06-07
1996,24,117382266,The Cable Guy,18,false,Jun 14-20,1996-06-14
1996,25,141777627,Eraser,19,false,Jun 21-27,1996-06-21
1996,26,209763708,Independence Day,15,false,Jun 28-Jul 4,1996-06-28
1996,27,193050091,Independence Day,14,false,Jul 5-11,1996-07-05
1996,28,158364562,Independence Day,15,false,Jul 12-18,1996-07-12
1996,29,138318343,Independence Day,20,false,Jul 19-25,1996-07-19
1996,30,132319618,A Time to Kill,25,false,Jul 26-Aug 1,1996-07-26
1996,31,129652886,A Time to Kill,28,false,Aug 2-8,1996-08-02
1996,32,110382198,Jack,24,false,Aug 9-15,1996-08-09
1996,33,105868952,Tin Cup,23,false,Aug 16-22,1996-08-16
1996,34,101738071,Tin Cup,26,false,Aug 23-29,1996-08-23
1996,35,97366628,The Crow: City of Angels,27,false,Aug 30-Sep 5,1996-08-30
1996,36,59632910,Bulletproof,21,false,Sep 6-12,1996-09-06
1996,37,57231742,Maximum Risk,25,false,Sep 13-19,1996-09-13
1996,38,71327646,The First Wives Club,23,false,Sep 20-26,1996-09-20
1996,39,65947958,The First Wives Club,23,false,Sep 27-Oct 3,1996-09-27
1996,40,64290620,The First Wives Club,24,false,Oct 4-10,1996-10-04
1996,41,76136866,The Ghost and the Darkness,25,false,Oct 11-17,1996-10-11
1996,42,66017768,Sleepers,19,false,Oct 18-24,1996-10-18
1996,43,69054998,Sleepers,24,false,Oct 25-31,1996-10-25
1996,44,78172124,Romeo + Juliet,25,false,Nov 1-7,1996-11-01
1996,45,95702479,Ransom,23,false,Nov 8-14,1996-11-08
1996,46,103798791,Space Jam,21,false,Nov 15-21,1996-11-15
1996,47,151376978,Star Trek: First Contact,24,false,Nov 22-28,1996-11-22
1996,48,133407750,101 Dalmatians,20,false,Nov 29-Dec 5,1996-11-29
1996,49,70273297,101 Dalmatians,18,false,Dec 6-12,1996-12-06
1996,50,87012040,Jerry Maguire,21,false,Dec 13-19,1996-12-13
1996,51,157200985,Beavis and Butt-Head Do America,27,false,Dec 20-26,1996-12-20
1996,52,202748930,Michael,25,false,"Dec 27-Jan 2, 1997",1996-12-27
1997,1,112952224,Jerry Maguire,23,false,Jan 3-9,1997-01-03
1997,2,104268463,The Relic,23,false,Jan 10-16,1997-01-10
1997,3,111535066,Beverly Hills Ninja,24,false,Jan 17-23,1997-01-17
1997,4,82833193,Evita,27,false,Jan 24-30,1997-01-24
1997,5,116097721,Star Wars: Episode IV - A New Hope1997 Special Edition,29,false,Jan 31-Feb 6,1997-01-31
