year,week,gross,top_release,releases,long_weekend
1985,30,95584928,National Lampoon's European Vacation,18,false
1985,31,90351782,Back to the Future,17,false
1985,32,80016810,Back to the Future,17,false
1985,33,78712505,Back to the Future,20,false
1985,34,79514704,Back to the Future,20,false
1985,35,58563363,Back to the Future,18,false
1985,36,40720934,Back to the Future,17,false
1985,37,26249537,Back to the Future,18,false
1985,38,25297662,Back to the Future,15,false
1985,39,30852211,Invasion U.S.A.,18,false
1985,40,40249880,Commando,19,false
1985,41,43506798,Commando,16,false
1985,42,37463817,Commando,19,false
1985,43,37950328,Jagged Edge,21,false
1985,44,43007408,Death Wish 3,17,false
1985,45,39515101,Death Wish 3,18,false
1985,46,29077321,Once Bitten,17,false
1985,47,48267161,Rocky IV,20,false
1985,48,58037023,Rocky IV,18,false
1985,49,48251032,Rocky IV,19,false
1985,50,44156571,The Jewel of the Nile,15,false
1985,51,92568617,Rocky IV,20,false
1985,52,103118366,Rocky IV,16,false
1986,1,63793994,Rocky IV,14,false
1986,2,43726012,Out of Africa,13,false
1986,3,64774707,The Color Purple,21,false
1986,4,38370447,The Color Purple,18,false
1986,5,53809906,Down and Out in Beverly Hills,20,false
1986,6,51415947,Down and Out in Beverly Hills,19,false
1986,7,68313958,Down and Out in Beverly Hills,21,false
1986,8,65752907,The Jewel of the Nile,21,false
1986,9,58953529,House,18,false
1986,10,44743910,Pretty in Pink,16,false
1986,11,46192384,Gung Ho,16,false
1986,12,68411054,Police Academy 3: Back in Training,20,false
1986,13,68216098,The Money Pit,21,false
1986,14,38423756,Police Academy 3: Back in Training,14,false
1986,15,35292681,The Money Pit,17,false
1986,16,47856985,Out of Africa,21,false
1986,17,27012731,Legend,18,false
1986,18,24742186,"Jo Jo Dancer, Your Life Is Calling",12,false
1986,19,25771459,Short Circuit,13,false
1986,20,37391048,Top Gun,16,false
1986,21,74544964,Cobra,16,false
1986,22,44937738,Top Gun,13,false
1986,23,55981491,Top Gun,17,false
1986,24,66446923,Back to School,17,false
1986,25,81655904,The Karate Kid Part II,15,false
1986,26,87375519,The Karate Kid Part II,16,false
1986,27,104657713,The Karate Kid Part II,17,false
1986,28,79871596,The Karate Kid Part II,14,false
1986,29,83646465,Aliens,17,false
1986,30,85284470,Aliens,19,false
1986,31,83920552,Aliens,21,false
1986,32,81433495,Friday the 13th Part VI: Jason Lives,21,false
1986,33,89083733,The Fly,23,false
1986,34,64677162,The Fly,23,false
1986,35,62814831,Stand by Me,23,false
1986,36,42867461,Top Gun,22,false
1986,37,27400634,Top Gun,17,false
1986,38,35758958,Mona Lisa,19,false
1986,39,37585198,Crocodile Dundee,20,false
1986,40,39815517,Crocodile Dundee,20,false
1986,41,70496119,Crocodile Dundee,21,false
1986,42,46315873,Crocodile Dundee,19,false
1986,43,51824164,Crocodile Dundee,19,false
1986,44,41287978,Crocodile Dundee,18,false
1986,45,44063259,Crocodile Dundee,22,false
1986,46,35241420,Crocodile Dundee,22,false
1986,47,66143814,Crocodile Dundee,28,false
1986,48,71863729,Star Trek IV: The Voyage Home,23,false
1986,49,52304999,Star Trek IV: The Voyage Home,21,false
1986,50,59082753,The Golden Child,16,false
1986,51,80208063,The Golden Child,19,false
1986,52,127257408,The Golden Child,18,false
1987,1,66497517,The Golden Child,16,false
1987,2,52913541,The Golden Child,18,false
1987,3,62437827,Critical Condition,21,false
1987,4,55528486,An American Tail,19,false
1987,5,69369803,Platoon,19,false
1987,6,51597705,Platoon,19,false
1987,7,66062688,Platoon,20,false
1987,8,46680424,Platoon,16,false
1987,9,63162469,A Nightmare on Elm Street 3: Dream Warriors,20,false
1987,10,58576680,Lethal Weapon,19,false
1987,11,60536691,Lethal Weapon,18,false
1987,12,57973781,Lethal Weapon,22,false
1987,13,54410535,Blind Date,24,false
1987,14,63727119,Police Academy 4: Citizens on Patrol,22,false
1987,15,59105235,The Secret of My Success,20,false
1987,16,57660775,The Secret of My Success,18,false
1987,17,40913243,The Secret of My Success,18,false
1987,18,44305195,The Secret of My Success,20,false
1987,19,39931690,My Life as a Dog,18,false
1987,20,44863440,Beverly Hills Cop II,18,false
1987,21,74023815,Beverly Hills Cop II,16,false
1987,22,49205806,Beverly Hills Cop II,15,false
1987,23,65018783,The Untouchables,21,false
1987,24,90351961,Predator,20,false
1987,25,71659925,The Witches of Eastwick,15,false
1987,26,98193025,Dragnet,16,false
1987,27,88251828,Dragnet,14,false
1987,28,83594174,Revenge of the Nerds II: Nerds in Paradise,17,false
1987,29,93283950,Snow White and the Seven Dwarfs1987 Re-release,21,false
1987,30,91467400,Summer School,22,false
1987,31,97759317,The Living Daylights,21,false
1987,32,106057325,The Living Daylights,25,false
1987,33,108738555,Stakeout,24,false
1987,34,69405746,Stakeout,21,false
1987,35,81103945,Snow White and the Seven Dwarfs1987 Re-release,23,false
1987,36,54168578,Stakeout,16,false
1987,37,38108247,Stakeout,20,false
1987,38,59581707,Fatal Attraction,24,false
1987,39,44949985,Fatal Attraction,21,false
1987,40,48404678,Fatal Attraction,22,false
1987,41,58675837,Fatal Attraction,24,false
1987,42,40769995,Fatal Attraction,23,false
